"Stock1","Stock2","Stock3","Stock4","Stock5","Stock6","Stock7","Stock8","indx"
811.203486658633,531.558216270059,593.551661865786,852.370145870373,486.388081195764,830.910499184392,118.013216392137,121.780443703756,543.221968892612
813.804047936993,511.711111594819,596.354996462672,856.797686705753,498.822465968062,827.880858703643,120.079679553792,124.52893992415,543.747473356236
826.009967058561,498.244462539865,593.246354752502,858.999811550244,501.449657936935,819.835724505226,115.347796121597,126.535862546291,542.458704626403
838.322193344333,489.921891607941,586.639192823058,845.560020743562,441.211086488159,802.759113811921,126.579370649468,124.393568727823,531.923304774533
848.102611455792,510.13141560159,605.240984799204,856.420363512239,495.822811293871,813.492313193604,128.941225033451,124.442846167499,547.824321382156
799.977773342681,503.755528358778,597.048349992574,842.87165707836,533.384144055725,808.602846286331,121.508645193172,121.730962366169,541.109988334224
814.808958500164,497.374256136751,600.404480559129,826.381586462487,524.403877195451,812.818304433471,129.127339708472,121.969892914059,540.911086988748
818.318324853571,494.567896978905,603.456498514718,801.653831778162,549.894801232528,837.482209913481,124.544100685869,124.821805873291,544.342433728816
824.781253351248,501.23762112303,608.395563516971,797.143852669767,570.324672493477,857.054498952885,125.78549293449,121.207493809842,550.741306106464
797.389865081232,521.35348093666,615.865517584335,777.742368449125,575.819181316877,872.553987236236,133.942948169151,122.515684110591,552.147879110526
760.043861011423,507.627268306419,613.978824452895,774.396061178265,599.447378469832,858.153882300488,132.596187559529,127.60567611799,546.731142424605
736.184222899327,500.797505585706,612.867027947472,774.908046769772,621.040188183868,845.448770713045,132.255218615843,129.247375448866,544.093544520487
744.585612949889,514.308788769355,626.643553200547,771.398863334872,634.827177063484,865.499268497053,143.000932585423,128.772152488683,553.629543611163
747.35149186982,509.377076374649,631.780292570154,771.359446386142,654.668636057039,880.508415232438,147.948634200384,126.210932460789,558.650615643927
734.755032378406,498.409754410994,635.451748261845,746.204757028249,687.727863109502,879.321633476065,152.559507699981,130.168948058323,558.07490555292
727.252231443029,493.686869830267,641.087312287239,756.223471158353,757.581242985361,877.577555984602,150.843775246816,127.565522125742,566.477247632676
736.786598493215,509.194763268601,638.46309392,749.975591359902,734.023065852563,878.986122471569,147.838060770067,125.588667905944,565.106995505233
755.222201846674,507.123081450562,645.301168901971,764.284192306179,739.976099355813,909.255715614634,150.838496655468,122.084383852224,574.260667497941
763.32572436732,497.650254634458,642.206688661413,778.014853639243,724.799425989297,915.137021056612,143.199892203872,124.660205958892,573.624258313888
742.000904581088,484.662561541708,645.462327553392,795.276276237922,739.269638047994,925.877961816126,143.348413290614,128.972936353589,575.608877427804
